kind,P,N,rep,wall_s,comm_max_s
size,16,108,1,0.069928,0.035449
size,16,108,2,0.068176,0.033999
size,16,108,3,0.068603,0.034871
size,16,108,4,0.068718,0.034910
size,16,108,5,0.069508,0.035598
size,16,108,6,0.068311,0.034320
size,16,108,7,0.068968,0.035066
size,16,108,8,0.067847,0.034156
size,16,108,9,0.067999,0.033752
size,16,108,10,0.067644,0.034353
size,16,108,11,0.069374,0.034933
size,16,256,1,0.367599,0.098619
size,16,256,2,0.361851,0.098397
size,16,256,3,0.361320,0.096355
size,16,256,4,0.362452,0.097152
size,16,256,5,0.360034,0.095520
size,16,256,6,0.363228,0.100502
size,16,256,7,0.363746,0.096715
size,16,256,8,0.358636,0.096955
size,16,256,9,0.358334,0.096586
size,16,256,10,0.358669,0.095222
size,16,256,11,0.364503,0.098068
size,16,500,1,1.486871,0.339525
size,16,500,2,1.409080,0.320163
size,16,500,3,1.403141,0.312347
size,16,500,4,1.417979,0.321564
size,16,500,5,1.406004,0.319397
size,16,500,6,1.415431,0.313079
size,16,500,7,1.419085,0.323552
size,16,500,8,1.419907,0.334627
size,16,500,9,1.421703,0.328131
size,16,500,10,1.421213,0.324839
size,16,500,11,1.420239,0.322138
size,16,864,1,3.827708,0.682150
size,16,864,2,3.835492,0.693607
size,16,864,3,3.839625,0.691187
size,16,864,4,3.852665,0.687231
size,16,864,5,3.851426,0.692780
size,16,864,6,3.854184,0.712717
size,16,864,7,3.848148,0.711096
size,16,864,8,3.854997,0.696932
size,16,864,9,3.850850,0.699680
size,16,864,10,3.839143,0.689620
size,16,864,11,3.835154,0.696780
size,16,1372,1,9.047623,1.437172
size,16,1372,2,9.086906,1.493346
size,16,1372,3,9.102605,1.511462
size,16,1372,4,9.099687,1.483983
size,16,1372,5,9.090997,1.457171
size,16,1372,6,9.088830,1.443630
size,16,1372,7,9.155989,1.489372
size,16,1372,8,9.142370,1.519554
size,16,1372,9,9.179895,1.496718
size,16,1372,10,9.189512,1.497046
size,16,1372,11,9.195848,1.523594
size,16,2048,1,19.163718,2.505157
size,16,2048,2,19.195878,2.507444
size,16,2048,3,19.237802,2.541577
size,16,2048,4,19.206399,2.548838
size,16,2048,5,19.215298,2.582538
size,16,2048,6,19.529586,2.730756
size,16,2048,7,19.025029,2.572275
size,16,2048,8,19.034032,2.536390
size,16,2048,9,19.040896,2.549338
size,16,2048,10,19.253514,2.676820
size,16,2048,11,19.153381,2.654435
