kind,P,N,rep,wall_s,comm_max_s
strong,1,2048,1,46.016555,0.001253
strong,1,2048,2,45.955620,0.001226
strong,1,2048,3,45.955775,0.001223
strong,1,2048,4,45.924469,0.001238
strong,1,2048,5,45.964284,0.001237
strong,1,2048,6,45.987326,0.001268
strong,1,2048,7,45.970233,0.001218
strong,1,2048,8,45.932030,0.001225
strong,1,2048,9,45.993862,0.001219
strong,1,2048,10,45.939541,0.001226
strong,1,2048,11,45.994466,0.001226
strong,2,2048,1,23.178700,0.240294
strong,2,2048,2,23.193973,0.241409
strong,2,2048,3,23.125517,0.223289
strong,2,2048,4,23.148061,0.244091
strong,2,2048,5,23.167080,0.246709
strong,2,2048,6,23.125955,0.245180
strong,2,2048,7,23.159468,0.256390
strong,2,2048,8,23.134530,0.231381
strong,2,2048,9,23.102861,0.224658
strong,2,2048,10,23.092372,0.203338
strong,2,2048,11,23.225670,0.255467
strong,4,2048,1,12.045084,0.722820
strong,4,2048,2,12.055098,0.703326
strong,4,2048,3,12.046293,0.721964
strong,4,2048,4,12.079985,0.698924
strong,4,2048,5,12.022773,0.657917
strong,4,2048,6,12.002224,0.660859
strong,4,2048,7,11.999970,0.696134
strong,4,2048,8,11.980779,0.663530
strong,4,2048,9,11.907580,0.657545
strong,4,2048,10,11.929296,0.616684
strong,4,2048,11,11.955384,0.615244
strong,8,2048,1,6.256730,0.716801
strong,8,2048,2,6.111701,0.572294
strong,8,2048,3,6.096957,0.560758
strong,8,2048,4,6.126869,0.587152
strong,8,2048,5,6.114131,0.579148
strong,8,2048,6,6.084729,0.543317
strong,8,2048,7,6.089443,0.554423
strong,8,2048,8,6.065060,0.538696
strong,8,2048,9,6.076324,0.539008
strong,8,2048,10,6.069019,0.540535
strong,8,2048,11,6.069468,0.543976
strong,16,2048,1,3.441516,0.558861
strong,16,2048,2,3.197639,0.382005
strong,16,2048,3,3.206390,0.384389
strong,16,2048,4,3.196786,0.368098
strong,16,2048,5,3.198008,0.363221
strong,16,2048,6,3.213709,0.367247
strong,16,2048,7,3.207352,0.369048
strong,16,2048,8,3.237773,0.374648
strong,16,2048,9,3.244495,0.391348
strong,16,2048,10,3.250974,0.398011
strong,16,2048,11,3.253767,0.391778
strong,24,2048,1,2.632289,0.606728
strong,24,2048,2,2.353353,0.321117
strong,24,2048,3,2.363009,0.322427
strong,24,2048,4,2.389320,0.306756
strong,24,2048,5,2.375713,0.333390
strong,24,2048,6,2.379657,0.326896
strong,24,2048,7,2.363147,0.319646
strong,24,2048,8,2.366205,0.320854
strong,24,2048,9,2.367740,0.326934
strong,24,2048,10,2.361795,0.317831
strong,24,2048,11,2.366625,0.318543
strong,32,2048,1,2.170807,0.568940
strong,32,2048,2,1.902469,0.289649
strong,32,2048,3,1.897817,0.287141
strong,32,2048,4,1.904406,0.286560
strong,32,2048,5,1.905649,0.289675
strong,32,2048,6,1.898566,0.281114
strong,32,2048,7,1.897334,0.281727
strong,32,2048,8,1.915836,0.289266
strong,32,2048,9,1.906069,0.280465
strong,32,2048,10,1.912646,0.289764
strong,32,2048,11,1.923560,0.288857
